32,7
40,28
40,2
36,23
23,28
64,26
28,5
80,35
80,14
25,32
38,5
92,25
4,38
87,8
98,20
85,0
91,34
42,30
55,22
34,22
69,30
46,13
33,14
74,32
59,24
32,34
67,2
56,24
50,31
56,11
72,25
83,7
28,23
79,2
74,33
54,13
57,17
9,15
94,10
27,34
4,3
53,7
39,13
84,25
40,10
41,21
24,3
26,22
19,31
46,35
19,15
6,17
83,15
63,11
34,7
54,18
97,4
3,15
47,25
61,6
56,33
85,38
38,24
41,9
84,20
67,28
43,14
41,6
83,23
29,14
16,33
60,33
24,12
54,34
35,30
26,29
75,7
57,27
32,10
41,22
9,17
73,31
28,10
89,17
79,18
5,36
79,16
65,29
79,4
95,4
28,29
7,23
40,15
56,4
77,19
33,32
33,35
24,31
92,8
79,20
75,26
6,9
47,31
30,15
54,39
19,14
64,25
60,19
17,32
66,37
21,38
9,26
49,5
21,19
37,26
83,31
64,19
49,19
5,22
11,3
68,35
44,22
71,34
38,23
11,25
80,26
16,23
20,32
78,36
84,32
7,2
14,7
13,8
10,8
14,9
3,4
2,4
19,7
4,8
4,7
21,7
24,9
20,2
13,6
29,7
21,12
13,4
27,2
13,4
27,18
39,14
35,10
17,18
5,38
31,21
3,11
16,31
34,7
3,37
15,26
22,2
22,19
13,16
20,14
8,17
18,4
43,16
21,12
12,18
23,16
10,10
31,2
14,9
12,14
32,4
